"# ""Tabelle f�r Zeitbereich: 01.01.2020 00:00 bis 01.01.2023 00:00""";;;;;;;;
"# ""Quelle""";;;;;;;;
Datum;Zeit;BOTT SO2 1H Mittelwert [痢/m設;BUCH SO2 1H Mittelwert [痢/m設;DATT SO2 1H Mittelwert [痢/m設;DUB2 SO2 1H Mittelwert [痢/m設;DWER SO2 1H Mittelwert [痢/m設;EVOG SO2 1H Mittelwert [痢/m設;WALS SO2 1H Mittelwert [痢/m設
09.01.2020;23:00;24;<10;<10;<10;<10;<10;49
09.01.2020;24:00:00;30;<10;<10;<10;<10;<10;17
10.01.2020;01:00;30;<10;<10;<10;<10;<10;83
10.01.2020;02:00;34;<10;<10;<10;<10;<10;164
10.01.2020;03:00;27;<10;<10;<10;<10;<10;65
10.01.2020;04:00;14;<10;<10;<10;<10;<10;<10
10.01.2020;05:00;<10;<10;<10;13;<10;<10;<10
10.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;07:00;18;<10;<10;<10;<10;<10;<10
10.01.2020;08:00;<10;<10;<10;<10;<10;<10;11
10.01.2020;09:00;14;<10;<10;<10;<10;<10;15
10.01.2020;10:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;11:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;12:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;13:00;<10;<10;;18;;<10;<10
10.01.2020;14:00;;<10;<10;<10;<10;<10;<10
10.01.2020;15:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;16:00;<10;<10;<10;<10;<10;<10;
10.01.2020;17:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;18:00;<10;<10;<10;;<10;;<10
10.01.2020;19:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;21:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;23:00;<10;<10;<10;<10;<10;<10;<10
10.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;09:00;<10;<10;<10;<10;<10;<10;<10
11.01.2020;10:00;11;<10;<10;<10;<10;<10;28
11.01.2020;11:00;22;<10;<10;<10;<10;<10;109
11.01.2020;12:00;33;<10;<10;<10;<10;<10;95
11.01.2020;13:00;40;<10;<10;<10;<10;<10;78
11.01.2020;14:00;43;<10;;<10;;<10;105
11.01.2020;15:00;;<10;<10;<10;<10;<10;131
11.01.2020;16:00;36;<10;<10;<10;<10;<10;138
11.01.2020;17:00;36;<10;<10;<10;<10;<10;
11.01.2020;18:00;61;<10;<10;<10;<10;<10;69
11.01.2020;19:00;55;<10;<10;;<10;;63
11.01.2020;20:00;52;<10;<10;<10;<10;<10;74
11.01.2020;21:00;45;<10;<10;<10;<10;<10;140
11.01.2020;22:00;53;<10;<10;<10;<10;<10;51
11.01.2020;23:00;45;<10;<10;<10;<10;<10;53
11.01.2020;24:00:00;40;<10;<10;<10;<10;<10;50
12.01.2020;01:00;38;<10;<10;<10;<10;<10;45
12.01.2020;02:00;39;<10;<10;<10;<10;<10;45
12.01.2020;03:00;46;<10;<10;13;<10;<10;35
12.01.2020;04:00;49;<10;<10;13;<10;<10;39
12.01.2020;05:00;48;<10;<10;<10;<10;<10;29
12.01.2020;06:00;67;<10;<10;14;<10;<10;44
12.01.2020;07:00;52;<10;<10;14;<10;<10;29
12.01.2020;08:00;58;<10;<10;18;<10;<10;31
12.01.2020;09:00;71;<10;<10;20;<10;<10;29
12.01.2020;10:00;71;<10;<10;20;<10;<10;32
12.01.2020;11:00;54;<10;<10;20;<10;<10;28
12.01.2020;12:00;66;<10;<10;16;<10;<10;25
12.01.2020;13:00;60;<10;<10;15;<10;<10;75
12.01.2020;14:00;47;<10;<10;<10;<10;<10;43
12.01.2020;15:00;12;<10;;<10;;<10;11
12.01.2020;16:00;;<10;<10;<10;<10;<10;<10
12.01.2020;17:00;<10;<10;<10;<10;<10;<10;<10
12.01.2020;18:00;<10;<10;<10;<10;<10;<10;
12.01.2020;19:00;<10;<10;<10;<10;<10;<10;12
12.01.2020;20:00;<10;<10;<10;;<10;;<10
12.01.2020;21:00;<10;<10;<10;<10;<10;<10;<10
12.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
12.01.2020;23:00;<10;<10;<10;<10;<10;<10;<10
12.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;09:00;16;<10;<10;<10;<10;<10;<10
13.01.2020;10:00;15;<10;<10;<10;<10;<10;42
13.01.2020;11:00;24;<10;<10;<10;<10;<10;59
13.01.2020;12:00;37;<10;<10;11;<10;<10;26
13.01.2020;13:00;26;<10;<10;11;<10;<10;30
13.01.2020;14:00;11;<10;<10;<10;<10;<10;13
13.01.2020;15:00;11;<10;<10;<10;<10;<10;11
13.01.2020;16:00;<10;<10;;<10;;<10;13
13.01.2020;17:00;;<10;<10;<10;<10;<10;14
13.01.2020;18:00;<10;<10;<10;<10;<10;<10;23
13.01.2020;19:00;<10;<10;<10;<10;<10;<10;
13.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;21:00;<10;<10;<10;;<10;;<10
13.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;23:00;<10;<10;<10;<10;<10;<10;<10
13.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;<10
14.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
14.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
14.01.2020;03:00;35;<10;<10;<10;<10;<10;17
14.01.2020;04:00;35;<10;<10;15;<10;<10;27
14.01.2020;05:00;39;<10;<10;15;<10;<10;24
14.01.2020;06:00;38;<10;<10;15;<10;<10;18
14.01.2020;07:00;78;<10;<10;13;<10;<10;37
14.01.2020;08:00;97;<10;<10;<10;<10;<10;47
14.01.2020;09:00;112;<10;<10;<10;<10;<10;66
14.01.2020;10:00;;<10;<10;<10;<10;<10;75
14.01.2020;11:00;;<10;<10;<10;;<10;77
14.01.2020;12:00;;<10;<10;<10;;<10;71
14.01.2020;13:00;127;<10;<10;<10;;<10;47
14.01.2020;14:00;132;<10;<10;<10;;<10;21
14.01.2020;15:00;29;<10;<10;11;<10;<10;23
14.01.2020;16:00;32;<10;<10;<10;<10;<10;23
14.01.2020;17:00;58;<10;<10;<10;<10;<10;50
14.01.2020;18:00;69;<10;<10;<10;<10;<10;28
14.01.2020;19:00;67;<10;<10;<10;<10;<10;41
14.01.2020;20:00;69;<10;<10;<10;<10;<10;
14.01.2020;21:00;66;<10;<10;<10;<10;<10;64
14.01.2020;22:00;55;<10;<10;;<10;;58
14.01.2020;23:00;64;<10;<10;<10;<10;<10;72
14.01.2020;24:00:00;76;<10;<10;<10;<10;<10;67
15.01.2020;01:00;73;<10;<10;<10;<10;<10;49
15.01.2020;02:00;78;<10;<10;<10;<10;<10;52
15.01.2020;03:00;75;<10;<10;<10;<10;<10;44
15.01.2020;04:00;82;<10;<10;<10;<10;<10;53
15.01.2020;05:00;67;<10;<10;<10;<10;<10;36
15.01.2020;06:00;69;<10;<10;<10;<10;<10;42
15.01.2020;07:00;40;<10;<10;16;<10;<10;24
15.01.2020;08:00;51;<10;<10;22;<10;<10;26
15.01.2020;09:00;68;<10;<10;<10;<10;<10;17
15.01.2020;10:00;42;<10;<10;17;<10;<10;15
15.01.2020;11:00;50;<10;<10;13;<10;<10;19
15.01.2020;12:00;52;<10;<10;17;<10;<10;20
15.01.2020;13:00;58;<10;<10;14;<10;<10;23
15.01.2020;14:00;47;<10;<10;10;<10;<10;20
15.01.2020;15:00;34;<10;<10;<10;<10;<10;21
15.01.2020;16:00;53;<10;<10;<10;<10;<10;33
15.01.2020;17:00;43;<10;<10;<10;<10;<10;21
15.01.2020;18:00;26;<10;<10;<10;<10;<10;29
15.01.2020;19:00;<10;<10;<10;<10;<10;<10;<10
15.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
15.01.2020;21:00;<10;<10;<10;<10;<10;<10;
15.01.2020;22:00;10;<10;<10;<10;<10;<10;<10
15.01.2020;23:00;<10;<10;<10;;<10;;<10
15.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;09:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;10:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;11:00;<10;<10;<10;22;<10;<10;<10
16.01.2020;12:00;<10;<10;<10;87;<10;<10;<10
16.01.2020;13:00;<10;<10;<10;13;<10;<10;<10
16.01.2020;14:00;<10;<10;<10;13;<10;<10;<10
16.01.2020;15:00;<10;<10;<10;12;<10;<10;<10
16.01.2020;16:00;<10;<10;<10;14;<10;<10;<10
16.01.2020;17:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;18:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;19:00;<10;<10;<10;10;<10;<10;<10
16.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;21:00;<10;<10;<10;29;<10;<10;<10
16.01.2020;22:00;<10;<10;<10;<10;<10;<10;
16.01.2020;23:00;<10;<10;<10;<10;<10;<10;<10
16.01.2020;24:00:00;<10;<10;<10;;<10;;<10
17.01.2020;01:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;03:00;<10;<10;<10;<10;11;<10;<10
17.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;06:00;<10;<10;<10;<10;12;<10;<10
17.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;09:00;<10;<10;;<10;<10;<10;<10
17.01.2020;10:00;<10;<10;;<10;<10;<10;<10
17.01.2020;11:00;<10;<10;;<10;<10;<10;<10
17.01.2020;12:00;<10;<10;;<10;<10;<10;<10
17.01.2020;13:00;<10;<10;;<10;<10;<10;18
17.01.2020;14:00;39;<10;<10;<10;<10;<10;27
17.01.2020;15:00;25;<10;<10;<10;<10;<10;63
17.01.2020;16:00;36;<10;<10;<10;<10;<10;22
17.01.2020;17:00;24;<10;<10;<10;<10;<10;<10
17.01.2020;18:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;19:00;12;<10;<10;<10;<10;<10;<10
17.01.2020;20:00;<10;<10;<10;<10;<10;<10;<10
17.01.2020;21:00;<10;15;<10;14;<10;<10;<10
17.01.2020;22:00;<10;15;<10;17;<10;<10;<10
17.01.2020;23:00;<10;16;<10;19;<10;<10;
17.01.2020;24:00:00;<10;15;<10;17;<10;<10;<10
18.01.2020;01:00;<10;<10;<10;;<10;;<10
18.01.2020;02:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;03:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;04:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;05:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;06:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;07:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;08:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;09:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;10:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;11:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;12:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;13:00;<10;<10;<10;20;<10;<10;<10
18.01.2020;14:00;<10;11;;<10;<10;<10;<10
18.01.2020;15:00;<10;<10;<10;37;<10;<10;<10
18.01.2020;16:00;<10;<10;<10;55;<10;<10;<10
18.01.2020;17:00;<10;<10;<10;16;<10;<10;<10
18.01.2020;18:00;<10;<10;<10;43;<10;<10;<10
18.01.2020;19:00;<10;<10;<10;16;<10;<10;<10
18.01.2020;20:00;<10;<10;<10;16;<10;<10;<10
18.01.2020;21:00;<10;<10;<10;28;<10;<10;<10
18.01.2020;22:00;<10;<10;<10;<10;<10;<10;<10
18.01.2020;23:00;<10;<10;<10;21;<10;<10;<10
18.01.2020;24:00:00;<10;<10;<10;<10;<10;<10;
19.01.2020;01:00;<10;<10;<10;<10;<10;11;<10
19.01.2020;02:00;<10;<10;<10;;<10;;<10
